plant_id,species,trait,n_points_fit,n_excluded_low_confidence,logistic_K,logistic_B,logistic_rho,logistic_R2,logistic_fit_quality,logistic_y0_hat,gompertz_A,gompertz_Bg,gompertz_beta,gompertz_R2,gompertz_fit_quality,gompertz_alpha_hat,gompertz_y0hat_log
M01,Maize,height,12,0,371.67487310062796,5.997443250560589,0.4232690998379918,0.9802361142984779,ok,53.115810988656726,405.0683601319157,2.2020653949977063,0.2532573254035798,0.9754862156288565,ok,1.5205711244509847,3.8019904483145024
M01,Maize,stem_diameter,12,0,31.971743572808343,101.84059289840899,0.6725172761196724,0.7714840566755068,poor,0.31088641821028407,31.971743572808343,25.520938642550014,0.5298000633880497,0.7552996728667074,poor,1.8356790737933155,-22.056086143185965
M02,Maize,height,12,0,395.4065683797924,4.42275507365941,0.3445521657792238,0.9783009573990786,ok,72.9161769264571,446.30055406897833,1.8748164118599229,0.19774421836921496,0.9734017052306091,ok,1.206436015555101,4.226176201246586
M02,Maize,stem_diameter,12,0,20.97336416890509,9.59290875337947,0.5833463987066211,0.7034600821454414,poor,1.9799438149803685,20.97336416890512,2.960726056232971,0.39164818749503855,0.6935096502016445,poor,1.19188462326883,0.08252720351543275
M03,Maize,height,11,0,477.6397691627509,7.834436110402378,0.30588439778437254,0.9888268543821241,ok,54.065676993276256,622.4073107860571,2.5806058925980007,0.14781544987237757,0.9898949545756379,ok,0.9509846976732326,3.8529888263187533
M03,Maize,stem_diameter,11,0,248.62573066366463,74464.19507393021,0.8135789070595346,0.8218920998056133,poor,0.0033388179594080847,248.62573066366463,49.99999999999999,0.2810160041221279,0.777588126608179,poor,1.5500698558688832,-44.484051324012015
M04,Maize,height,12,0,444.90712764535186,8.628771098792097,0.41970159048789213,0.9818820943563291,ok,46.20601352764157,504.5696591330925,2.638235175611162,0.2322881086068915,0.9770743771235794,ok,1.4456928733949768,3.5854707302368576
M04,Maize,stem_diameter,12,0,195.1845666814085,171.06343050074057,0.27939754934019434,0.5567622369434795,poor,1.1343756550324529,195.1845666814085,5.3447865145274855,0.07962583547971562,0.49228822615477086,poor,0.4199423252097457,-0.07084090780635499
M05,Maize,height,12,0,308.9605532251811,8.507619386940394,0.3141629475325865,0.9691257422813142,ok,32.496100301361174,378.4988011130196,2.711696523446516,0.1642133023374131,0.9777572209516231,ok,0.9748051245742919,3.224516381957067
M05,Maize,stem_diameter,12,0,10.889359469703994,3.100105721155045,0.3475852405085074,0.5613414793382285,poor,2.6558728506728215,12.289537977154565,1.5413614358773189,0.19881008155999866,0.5632413850386981,poor,0.4987644599963545,0.9673868935972756
M06,Maize,height,12,0,463.32126236217994,9.516803747526176,0.39088914340123165,0.985159228338466,ok,44.05533025860306,539.0030015964511,2.820099557193417,0.21220501729938615,0.9870289807304616,ok,1.3347103832621892,3.4696215825246592
M06,Maize,stem_diameter,12,0,83.26117241282643,12.188023593763267,0.06950643468193783,0.3077125411478713,poor,6.3133927400767895,83.26117241281787,2.5773723309391343,0.02706974826417174,0.2919056124024818,poor,0.11970194831258162,1.844609992073952
M07,Maize,height,12,0,514.0450102743877,5.125947903329653,0.2833820899449823,0.9829854527366743,ok,83.91272965200821,630.793540206681,2.1010083842566347,0.1485143418260937,0.9842557513537469,ok,0.9574687856845533,4.345970230143607
