plant_id,species,elapsed_days,scan_date,height,stem_diameter,leaf_area,leaf_count,volume,n_soil_pts,n_stem_pts,n_leaf_pts,stem_frac_of_points,stem_leaf_boundary_low_confidence,source_filepath
M01,Maize,0,313.0,61.7718971712859,5.528773538838691,71.58168278261073,1.0,5651.0907298430775,3714,343,39,0.083740234375,False,../data/pheno4d/Maize01/M01_0313_a.txt
M01,Maize,1,314.0,77.86300119586652,4.30793733226939,259.4192211436823,1.0,7811.087569794734,3652,331,113,0.080810546875,False,../data/pheno4d/Maize01/M01_0314.txt
M01,Maize,2,315.0,102.73209677368811,3.5809797079357515,261.8877214552841,2.0,25340.82575517315,3398,569,129,0.138916015625,False,../data/pheno4d/Maize01/M01_0315_a.txt
M01,Maize,3,316.0,125.26860098090106,4.553270578263114,1042.9326073358116,3.0,71221.77685883608,3015,546,535,0.13330078125,False,../data/pheno4d/Maize01/M01_0316.txt
M01,Maize,4,317.0,171.7044101097831,4.406592851822654,1194.4854615187794,4.0,165968.49762673496,2974,607,515,0.148193359375,False,../data/pheno4d/Maize01/M01_0317_a.txt
M01,Maize,5,318.0,227.0473969556151,5.364563808433251,1467.3898356134816,6.0,252860.4163181444,539,844,2713,0.2060546875,False,../data/pheno4d/Maize01/M01_0318.txt
M01,Maize,6,319.0,270.1969891740809,5.0811855723224095,1830.0943316143384,2.0,355759.61806385126,2400,666,1030,0.16259765625,False,../data/pheno4d/Maize01/M01_0319_a.txt
M01,Maize,7,320.0,267.57629434879163,24.584857041468165,3343.484076486038,3.0,663953.0799830742,458,369,3269,0.090087890625,False,../data/pheno4d/Maize01/M01_0320.txt
M01,Maize,8,321.0,284.16819133362424,13.329526706134372,3044.555615173033,6.0,1133080.765752816,1493,759,1844,0.185302734375,False,../data/pheno4d/Maize01/M01_0321_a.txt
M01,Maize,9,322.0,356.3199872839941,35.5241595253426,3970.2894420519297,3.0,1923262.538367409,940,933,2223,0.227783203125,False,../data/pheno4d/Maize01/M01_0322.txt
M01,Maize,11,324.0,359.61658616477143,25.95641526882575,4519.29435518846,3.0,2642442.850967923,715,676,2705,0.1650390625,False,../data/pheno4d/Maize01/M01_0324_a.txt
M01,Maize,12,325.0,345.5415989887879,28.23260974605211,4320.428065513469,4.0,5060094.920764443,928,540,2628,0.1318359375,False,../data/pheno4d/Maize01/M01_0325_a.txt
M02,Maize,0,313.0,83.61210057919695,3.712958318480767,571.6997626140977,2.0,18777.1410592222,3500,355,241,0.086669921875,False,../data/pheno4d/Maize02/M02_0313_a.txt
M02,Maize,1,314.0,100.03789698101386,4.344834625658023,860.6977362797977,3.0,46993.34426847089,3312,399,385,0.097412109375,False,../data/pheno4d/Maize02/M02_0314.txt
M02,Maize,2,315.0,121.48480030184828,5.027419477023798,744.844403229478,3.0,79846.20979467829,3099,469,528,0.114501953125,False,../data/pheno4d/Maize02/M02_0315_a.txt
M02,Maize,3,316.0,151.170410885332,5.259710070432799,520.880553873341,2.0,122082.17630999084,3026,564,506,0.1376953125,False,../data/pheno4d/Maize02/M02_0316.txt
M02,Maize,4,317.0,163.82768958213478,6.058686763669101,1236.6593913389356,5.0,292533.22147924115,2528,645,923,0.157470703125,False,../data/pheno4d/Maize02/M02_0317_a.txt
M02,Maize,5,318.0,230.5564996253679,23.00885983079505,1813.5857302984728,6.0,1064559.7789672425,99,556,3441,0.1357421875,False,../data/pheno4d/Maize02/M02_0318.txt
M02,Maize,6,319.0,245.4380102331993,18.051907151618263,2005.548236304044,4.0,911995.209368284,1904,742,1450,0.18115234375,False,../data/pheno4d/Maize02/M02_0319_a.txt
M02,Maize,7,320.0,299.038487293476,11.084370092875467,2939.1155670707794,5.0,1455085.474305531,1263,931,1902,0.227294921875,False,../data/pheno4d/Maize02/M02_0320.txt
M02,Maize,8,321.0,313.0982866421182,17.869348254502682,3370.616784028554,4.0,2784291.0095315925,1298,593,2205,0.144775390625,False,../data/pheno4d/Maize02/M02_0321_a.txt
M02,Maize,9,322.0,339.9336020703849,23.303737965450093,3578.102718663358,9.0,4150461.775245738,0,906,3190,0.22119140625,False,../data/pheno4d/Maize02/M02_0322.txt
M02,Maize,11,324.0,326.6685277066954,21.11053205003379,9203.595128195591,3.0,6777407.861210317,567,396,3133,0.0966796875,False,../data/pheno4d/Maize02/M02_0324_a.txt
M02,Maize,12,325.0,385.99589925685,16.82915403144255,4413.631556624884,6.0,9217219.005245252,472,985,2639,0.240478515625,False,../data/pheno4d/Maize02/M02_0325_a.txt
M03,Maize,0,313.0,48.31580009982223,9.338943898257618,,,4130.931585600775,3815,281,0,0.068603515625,False,../data/pheno4d/Maize03/M03_0313_a.txt
M03,Maize,1,314.0,66.49399875474842,6.613918127669834,85.00076371086517,1.0,8575.46781672921,3745,304,47,0.07421875,False,../data/pheno4d/Maize03/M03_0314.txt
M03,Maize,2,315.0,93.8193047281172,4.172254367803095,257.23209576979264,1.0,14264.67415757332,3618,367,111,0.089599609375,False,../data/pheno4d/Maize03/M03_0315_a.txt
M03,Maize,3,316.0,115.33439534617332,3.947662331876265,403.7523635312755,2.0,24534.87185185503,3406,514,176,0.12548828125,False,../data/pheno4d/Maize03/M03_0316.txt
M03,Maize,4,317.0,142.79629415322188,4.213344217036566,720.4236532962475,5.0,74753.83003071186,3096,649,351,0.158447265625,False,../data/pheno4d/Maize03/M03_0317_a.txt
M03,Maize,6,319.0,223.14770293137963,6.066831138445501,542.9777314947861,3.0,165719.8968300372,2394,992,710,0.2421875,False,../data/pheno4d/Maize03/M03_0319_a.txt
M03,Maize,7,320.0,270.0267927245977,5.611372818770516,1491.4879274894806,2.0,254432.12056002024,2353,479,1264,0.116943359375,False,../data/pheno4d/Maize03/M03_0320.txt
M03,Maize,8,321.0,254.05179818277065,6.050169122468511,3008.126740050978,2.0,538204.3396136466,1811,343,1942,0.083740234375,False,../data/pheno4d/Maize03/M03_0321_a.txt
M03,Maize,9,322.0,313.16890626839813,9.203127457447334,4009.019565454267,4.0,984957.4169127695,0,384,3712,0.09375,False,../data/pheno4d/Maize03/M03_0322.txt
M03,Maize,11,324.0,387.6312888044704,16.72646777610305,4224.693240229757,5.0,2371292.315842895,1235,654,2207,0.15966796875,False,../data/pheno4d/Maize03/M03_0324_a.txt
M03,Maize,12,325.0,395.7177880754916,49.72514613273293,4102.238899218531,5.0,5497272.910839973,0,1064,3032,0.259765625,False,../data/pheno4d/Maize03/M03_0325_a.txt
M04,Maize,0,313.0,54.00749720799547,6.981391872017926,,,10453.518454744371,3801,295,0,0.072021484375,False,../data/pheno4d/Maize04/M04_0313_a.txt
M04,Maize,1,314.0,68.51439940680226,4.006492726181529,176.62836799147323,2.0,7610.222036013529,3627,380,89,0.0927734375,False,../data/pheno4d/Maize04/M04_0314.txt
M04,Maize,2,315.0,101.22129698601164,7.164617913225584,352.4111310146549,2.0,38231.90446235178,3440,491,165,0.119873046875,False,../data/pheno4d/Maize04/M04_0315_a.txt
M04,Maize,3,316.0,119.73340524399224,4.298608223259448,582.4885761888711,3.0,37871.74849911863,3260,541,295,0.132080078125,False,../data/pheno4d/Maize04/M04_0316.txt
M04,Maize,4,317.0,155.85880298069696,4.81671001836339,898.6444833258053,4.0,100097.90597690058,2932,573,591,0.139892578125,False,../data/pheno4d/Maize04/M04_0317_a.txt
M04,Maize,5,318.0,228.5777005139644,7.8183672163835345,1659.75094671305,5.0,614731.7164509232,0,1175,2921,0.286865234375,False,../data/pheno4d/Maize04/M04_0318.txt
M04,Maize,6,319.0,253.74650800660265,5.060032229285048,1400.4292871585385,4.0,285650.6978905438,2308,866,922,0.21142578125,False,../data/pheno4d/Maize04/M04_0319_a.txt
M04,Maize,7,320.0,327.258498673631,13.988351382034876,1229.0294323453093,2.0,378508.03975594376,1731,1136,1229,0.27734375,False,../data/pheno4d/Maize04/M04_0320.txt
